單元名稱,教學目標,概念,常見錯誤
萬以內的數,,位值系統、數的讀法與寫法、數的大小比較、遞增與遞減、近似數、四捨五入（初步）。,
萬以內的加減,,直式計算、進位、退位、加減互逆、應用問題分析。,
乘法：二、三位數乘以一位數,,乘法的意義、被乘數、乘數、積、乘法直式計算（含進位）。,
除法：有餘數的除法,,除法的意義、等分、包含、被除數、除數、商、餘數、除法原理（被除數=除數×商+餘數）、餘數<除數。,
分數：簡單分數,,分數的意義、分子、分母、單位分數、真分數、整體與部分、等分。,
測量：長度單位公里,,長度單位（公分cm、公尺m、公里km）、單位換算、1 km = 1000 m、估測。,
時間：時間的計算,,時間單位（時、分、秒、日）、時刻、時間長度、滿60進位、借位（退位）、時間的加減法。,
圖形：周長,,周長的意義、邊長、加法計算、正方形周長=邊長×4、長方形周長=(長+寬)×2。,
